job_id,title,category,location,work_mode,min_experience,education_required,required_skills,preferred_skills,description
J028,Project Coordinator,Project Manager,Delhi,Hybrid,6,Master,"Communication,Stakeholder Management,Project Coordination,Documentation","Agile,Teamwork","Coordinate projects, manage stakeholders, and support delivery execution."
J029,People Operations Associate,HR,Delhi,Remote,3,Master,"Recruitment,Documentation,Communication,CV Screening","Excel,Stakeholder Management,Customer Service","Support recruitment workflows, candidate screening, and people operations reporting."
J030,Program Coordinator,Project Manager,Mumbai,Remote,3,Bachelor,"Documentation,Project Coordination,Stakeholder Management,Communication","Risk Management,Jira,Teamwork,Agile","Coordinate projects, manage stakeholders, and support delivery execution."
J031,Cloud Support Engineer,Software Engineer,Dubai,Hybrid,6,Bachelor,"Python,SQL,APIs,Git","Teamwork,Problem Solving,Cloud","Build backend services, work with APIs, and support engineering delivery."
J032,Process Analyst,Operations,Bengaluru,Remote,2,Master,"Excel,Reporting,Communication,Process Improvement","Documentation,Teamwork,Customer Service,Stakeholder Management","Drive reporting, improve workflows, and support operational efficiency."
J033,Software Engineer,Software Engineer,Mumbai,Onsite,2,Master,"Git,APIs,Python,SQL","Teamwork,Cloud,Docker","Build backend services, work with APIs, and support engineering delivery."
J034,Backend Analyst,Software Engineer,Mumbai,Hybrid,2,Bachelor,"SQL,Python,Git,APIs","Teamwork,Problem Solving","Build backend services, work with APIs, and support engineering delivery."
J035,Recruitment Analyst,HR,Bengaluru,Remote,6,Master,"Documentation,Recruitment,CV Screening,Communication","Stakeholder Management,Customer Service","Support recruitment workflows, candidate screening, and people operations reporting."
J036,Program Operations Specialist,Operations,Delhi,Hybrid,1,Bachelor,"Communication,Reporting,Excel,Process Improvement","Documentation,Stakeholder Management,Customer Service","Drive reporting, improve workflows, and support operational efficiency."
J037,Client Success Coordinator,Customer Support,Dubai,Onsite,1,Master,"Teamwork,Customer Service,Communication,Documentation","Stakeholder Management,Excel,Reporting","Handle user support, document issues, and ensure service quality."
J038,People Operations Associate,HR,Bengaluru,Onsite,3,Bachelor,"Recruitment,Documentation,Communication,CV Screening","Customer Service,Teamwork,Excel","Support recruitment workflows, candidate screening, and people operations reporting."
J039,Operations Associate,Operations,Dubai,Remote,4,Bachelor,"Excel,Reporting,Process Improvement,Communication","Customer Service,Stakeholder Management","Drive reporting, improve workflows, and support operational efficiency."
J040,Program Operations Specialist,Operations,Mumbai,Hybrid,4,Bachelor,"Communication,Reporting,Process Improvement,Excel","Customer Service,Documentation,Stakeholder Management","Drive reporting, improve workflows, and support operational efficiency."
J041,Operations Analyst,Operations,Dubai,Remote,1,Bachelor,"Excel,Communication,Process Improvement,Reporting","Documentation,Stakeholder Management,Teamwork,Customer Service","Drive reporting, improve workflows, and support operational efficiency."
J042,Software Engineer,Software Engineer,Bengaluru,Remote,1,Bachelor,"APIs,SQL,Python,Git","Cloud,Teamwork,Docker,Problem Solving","Build backend services, work with APIs, and support engineering delivery."
J043,Program Coordinator,Project Manager,Bengaluru,Remote,2,Bachelor,"Documentation,Project Coordination,Communication,Stakeholder Management","Risk Management,Teamwork","Coordinate projects, manage stakeholders, and support delivery execution."
J044,Operations Associate,Operations,Mumbai,Remote,6,Bachelor,"Process Improvement,Excel,Reporting,Communication","Customer Service,Teamwork,Stakeholder Management","Drive reporting, improve workflows, and support operational efficiency."
J045,Program Operations Specialist,Operations,Dubai,Remote,6,Bachelor,"Process Improvement,Communication,Reporting,Excel","Documentation,Stakeholder Management,Customer Service","Drive reporting, improve workflows, and support operational efficiency."
J046,Program Operations Specialist,Operations,Bengaluru,Remote,5,Master,"Process Improvement,Reporting,Excel,Communication","Documentation,Customer Service","Drive reporting, improve workflows, and support operational efficiency."
J047,Delivery Associate,Project Manager,Delhi,Remote,6,Bachelor,"Stakeholder Management,Communication,Documentation,Project Coordination","Teamwork,Risk Management,Agile,Jira","Coordinate projects, manage stakeholders, and support delivery execution."
J048,Service Desk Associate,Customer Support,Bengaluru,Onsite,1,Bachelor,"Customer Service,Teamwork,Documentation,Communication","Problem Solving,Excel,Stakeholder Management","Handle user support, document issues, and ensure service quality."
J049,Program Coordinator,Project Manager,Delhi,Hybrid,3,Bachelor,"Stakeholder Management,Project Coordination,Communication,Documentation","Jira,Agile,Teamwork,Risk Management","Coordinate projects, manage stakeholders, and support delivery execution."
J050,Support Operations Analyst,Customer Support,Mumbai,Onsite,3,Bachelor,"Documentation,Communication,Teamwork,Customer Service","Reporting,Stakeholder Management","Handle user support, document issues, and ensure service quality."
J051,Recruitment Analyst,HR,Dubai,Onsite,6,Master,"CV Screening,Recruitment,Documentation,Communication","Stakeholder Management,Excel","Support recruitment workflows, candidate screening, and people operations reporting."
J052,Reporting Analyst,Data Analyst,Bengaluru,Onsite,1,Master,"SQL,Data Analysis,Power BI,Excel","Python,Tableau","Analyze data, build reports, and support decision-making through dashboards and insights."
J053,Data Insights Associate,Data Analyst,Hyderabad,Remote,5,Bachelor,"Data Analysis,Excel,Power BI,SQL","Python,Communication,Tableau","Analyze data, build reports, and support decision-making through dashboards and insights."
J054,Software Engineer,Software Engineer,Delhi,Remote,1,Bachelor,"Python,Git,APIs,SQL","Teamwork,Problem Solving","Build backend services, work with APIs, and support engineering delivery."
J055,People Operations Associate,HR,Delhi,Onsite,2,Bachelor,"Documentation,Communication,CV Screening,Recruitment","Teamwork,Customer Service,Excel,Stakeholder Management","Support recruitment workflows, candidate screening, and people operations reporting."
J056,Client Success Coordinator,Customer Support,Delhi,Onsite,1,Bachelor,"Documentation,Customer Service,Communication,Teamwork","Problem Solving,Stakeholder Management,Excel","Handle user support, document issues, and ensure service quality."
J057,Program Coordinator,Project Manager,Bengaluru,Onsite,5,Bachelor,"Documentation,Project Coordination,Stakeholder Management,Communication","Agile,Teamwork,Risk Management,Jira","Coordinate projects, manage stakeholders, and support delivery execution."
J058,HR Operations Associate,HR,Pune,Hybrid,5,Master,"Documentation,CV Screening,Recruitment,Communication","Customer Service,Teamwork","Support recruitment workflows, candidate screening, and people operations reporting."
J059,Operations Associate,Operations,Delhi,Remote,1,Bachelor,"Process Improvement,Reporting,Communication,Excel","Customer Service,Stakeholder Management,Documentation","Drive reporting, improve workflows, and support operational efficiency."
J060,Delivery Associate,Project Manager,Mumbai,Hybrid,5,Bachelor,"Communication,Project Coordination,Stakeholder Management,Documentation","Teamwork,Agile,Risk Management","Coordinate projects, manage stakeholders, and support delivery execution."
